BrandName,ModelName,BatterySize,Acceleration,TopSpeed,Range,Efficiency,ChargeSpeed,Drive,Seats,Price
Audi,Q4_Sportback_e-tron_50_quattro,77,6.2,180,400,192,490,All_Wheel_Drive,5,55600
Volkswagen,ID.4_GTX,77,6.2,180,400,193,490,All_Wheel_Drive,5,50415
Ford,Mustang_Mach-E_SR_AWD,68,6.3,180,330,206,360,All_Wheel_Drive,5,54000
Mercedes,EQB_350_4MATIC,67,6.5,160,340,196,400,All_Wheel_Drive,7,60000
CUPRA,Born_170_kW_-_62,58,6.6,160,345,168,430,Rear_Wheel_Drive,5,39000
BMW,iX3,74,6.8,180,385,192,520,Rear_Wheel_Drive,5,66300
Audi,e-tron_50_quattro,65,6.8,190,280,231,470,All_Wheel_Drive,5,69100
Audi,e-tron_Sportback_50_quattro,65,6.8,190,295,219,490,All_Wheel_Drive,5,71350
Skoda,Enyaq_iV_80X,77,6.9,160,405,190,500,All_Wheel_Drive,5,47000
BMW,i3s_120_Ah,38,6.9,160,230,165,260,Rear_Wheel_Drive,4,42600
Ford,Mustang_Mach-E_SR_RWD,68,6.9,180,345,197,380,Rear_Wheel_Drive,5,46900
Audi,Q4_e-tron_45_quattro,77,6.9,180,385,199,470,All_Wheel_Drive,5,50900
Ford,Mustang_Mach-E_ER_RWD,88,7.0,180,440,200,430,Rear_Wheel_Drive,5,54475
Tesla,Cybertruck_Single_Motor,100,7.0,180,390,256,740,Rear_Wheel_Drive,7,45000
CUPRA,Born_170_kW_-_82,77,7.0,160,450,171,550,Rear_Wheel_Drive,5,43000
Volkswagen,ID.3_Pro_Performance,58,7.3,160,350,166,440,Rear_Wheel_Drive,5,36495
Opel,Ampera-e,58,7.3,150,335,173,210,Front_Wheel_Drive,5,42990
Nissan,Leaf_e+,56,7.3,157,325,172,390,Front_Wheel_Drive,5,38350
BMW,i3_120_Ah,38,7.3,150,235,161,270,Rear_Wheel_Drive,4,39000
Mini,Cooper_SE,29,7.3,150,185,156,260,Front_Wheel_Drive,4,32500
CUPRA,Born_150_kW_-_62,58,7.3,160,350,166,440,Rear_Wheel_Drive,5,36770
Hyundai,IONIQ_5_Long_Range_2WD,73,7.4,185,385,189,890,Rear_Wheel_Drive,5,45100
Polestar,2_Standard_Range_Single_Motor,61,7.4,160,350,174,450,Front_Wheel_Drive,5,46500
Polestar,2_Long_Range_Single_Motor,75,7.4,160,425,176,550,Front_Wheel_Drive,5,49500
Nissan,Ariya_63,63,7.5,160,335,188,450,Front_Wheel_Drive,5,45000
Kia,EV6_Long_Range_2WD,77,7.5,185,420,184,980,Rear_Wheel_Drive,5,54990
Byton,M-Byte_72_2WD,72,7.5,190,325,222,420,Rear_Wheel_Drive,5,53500
Lexus,UX_300e,50,7.5,160,260,192,150,Front_Wheel_Drive,5,47550
Aiways,U5,63,7.5,150,335,188,350,Front_Wheel_Drive,5,35993
Byton,M-Byte_95_2WD,95,7.5,190,400,238,480,Rear_Wheel_Drive,5,62000
Nissan,Ariya_87,87,7.6,160,445,196,530,Front_Wheel_Drive,5,50000
MG,MG5_EV,49,7.7,185,295,165,340,Front_Wheel_Drive,5,26495
Mercedes,EQA_300_4MATIC,67,7.7,160,350,190,420,All_Wheel_Drive,5,53538
MG,MG5_EV_Long_Range,57,7.7,185,340,168,340,Front_Wheel_Drive,5,26495
Kia,e-Niro_64,64,7.8,167,370,173,350,Front_Wheel_Drive,5,39090
Kia,e-Soul_64,64,7.9,167,370,173,350,Front_Wheel_Drive,5,37790
Nissan,Leaf,36,7.9,144,220,164,230,Front_Wheel_Drive,5,29990
Kia,e-Soul_64,64,7.9,167,370,173,350,Front_Wheel_Drive,5,36913
Hyundai,Kona_Electric_64,64,7.9,167,395,162,370,Front_Wheel_Drive,5,41850
Volkswagen,ID.3_Pro_S,77,7.9,160,450,171,550,Rear_Wheel_Drive,4,41995
Hyundai,Kona_Electric_64,64,7.9,167,395,162,370,Front_Wheel_Drive,5,41850
MG,Marvel_R,65,7.9,200,340,191,390,Rear_Wheel_Drive,5,40000
Renault,Megane_E-Tech_Electric,60,8.0,160,335,179,480,Front_Wheel_Drive,5,38000
Peugeot,e-208,45,8.1,150,275,164,370,Front_Wheel_Drive,5,30450
Opel,Corsa-e,45,8.1,150,275,164,370,Front_Wheel_Drive,5,29000
MG,ZS_EV,43,8.2,140,220,193,260,Front_Wheel_Drive,5,31990
MG,MG5_Electric,57,8.3,180,340,168,440,Front_Wheel_Drive,5,35000
Honda,e_Advance,29,8.3,145,170,168,190,Rear_Wheel_Drive,4,38000
Volkswagen,ID.4_Pro_Performance,77,8.5,160,410,188,500,Rear_Wheel_Drive,5,44450
Peugeot,e-2008_SUV,45,8.5,150,250,180,330,Front_Wheel_Drive,5,35450
Hyundai,IONIQ_5_Standard_Range_2WD,58,8.5,185,310,187,720,Rear_Wheel_Drive,5,41900
Kia,EV6_Standard_Range_2WD,58,8.5,185,320,181,740,Rear_Wheel_Drive,5,44990
Audi,Q4_e-tron_40,77,8.5,160,405,189,500,Rear_Wheel_Drive,5,47500
