;Last;PE;;ROE;;
;Y;X1;;X2;;
;44.26 c;39,9;;13,19;;
;154.85 c;34,04;;28,92;;
;14.09 c;21,46;;4,36;;
;91.14 c;14,33;;40,37;;
;78.56 c;121,91;;--;;
;61.86 c;23,67;;11,26;;
;149.06 c;20,14;;38,1;;
;56.63 c;25,2;;20,29;;
;151.88 c;27,7;;10,61;;
;97.75 c;28,23;;6,24;;
;36.75 c;19,95;;10,24;;
;114.03 c;13,81;;41,11;;
;29.24 c;34,83;;5,11;;
;119.31 c;21,29;;8,94;;
;292.12 c;21,58;;28,32;;
;70.06 c;3,72;;--;;
;158.38 c;27,13;;7,77;;
;47.28 c;5,3;;17,3;;
;228.21 c;18,38;;35,29;;
;294.89 c;178,5;;5,38;;
;394.01 c;101,71;;6,64;;
;24.24 c;7,24;;--;;
;104.5 c;--;;--;;
;96.48 c;4,61;;53,52;;
;55.83 c;29,31;;74,63;;
;54.35 c;21,68;;23,35;;
;111.62 c;81,06;;47,77;;
;31.19 c;14,75;;10,73;;
;28.64 c;14,75;;10,73;;
;272.43 c;23,22;;162,32;;
;70.8 c;18,24;;44,06;;
;273.18 c;56,48;;27,1;;
;72.22 c;11,49;;48,8;;
;124.55 c;30,71;;7,06;;
;207.7 c;26,9;;20,09;;
;98.56 c;12,62;;23,69;;
;42.88 c;12,29;;27,02;;
;404.39 c;39,47;;33,81;;
;130.39 c;49,24;;14,45;;
;58.99 c;11,94;;--;;
;10.39 c;19,64;;18,2;;
;56.87 c;13,83;;20,37;;
;385.98 c;25,56;;--;;
;22.64 c;--;;-20,86;;
;67.8 c;6,16;;31,91;;
;16.09 c;7,06;;--;;
;45.52 c;20,39;;12,36;;
;71.41 c;11,63;;11,48;;
;132.43 c;16,59;;15,34;;
;138.45 c;63,1;;6,65;;
;114.63 c;23,04;;10,73;;
;63.12 c;19,31;;8,04;;
;63.92 c;42,02;;8,37;;
;192.73 c;95,01;;12,7;;
;90.96 c;21,58;;28,53;;
;22.67 c;4,31;;32,71;;
;271.77 c;30,85;;16,2;;
;172.51 c;18,73;;38,27;;
;216.77 c;34,56;;6,97;;
;55.16 c;20,2;;11,19;;
;35.86 c;15,1;;26,15;;
;9.58 c;6,61;;--;;
;110.58 c;16,84;;25,64;;
;351.22 c;18,78;;64,9;;
;256.79 c;15,27;;21,05;;
;41.16 c;160,98;;2,31;;
;63.27 c;15,46;;123,05;;
;89.59 c;8,52;;19,06;;
;91.03 c;41,83;;16,22;;
;232.2 c;32,76;;15,28;;
;85.54 c;26,21;;11,78;;
;58.49 c;14,06;;--;;
;67.79 c;4,14;;81,05;;
;64.44 c;--;;-1,34;;
;10.49 c;--;;-63,45;;
;64.78 c;16,16;;12,38;;
;81.2 c;49,01;;16,67;;
;111.5 c;--;;--;;
;25 c;9,88;;11,38;;
;81.15 c;76,76;;1,6;;
;216.4 c;24,57;;23,04;;
;17.32 c;19,63;;9,63;;
;25.4 c;6,19;;--;;
;36.9 c;3,67;;31,62;;
;133.28 c;12,09;;28,31;;
;53.24 c;14,67;;--;;
;28.89 c;17,03;;11,07;;
;57.27 c;7,78;;445,68;;
;47.66 c;26,52;;11,25;;
;110.59 c;18,33;;14,23;;
;100.66 c;13,61;;55,73;;
;249.51 c;32,53;;9,33;;
;94.84 c;--;;-1.698,20;;
;32.2 c;7,39;;16,76;;
;27.12 c;4,41;;--;;
;73.41 c;24,19;;8,94;;
;21.08 c;22,96;;7,56;;
;9.59 c;5,62;;10;;
;102.93 c;5,91;;38,71;;
;301.18 c;45,31;;23,58;;
;18.13 c;113,64;;1,3;;
;153.3 c;31,04;;26,87;;
;31.89 c;6,72;;19,81;;
;17.24 c;12,19;;--;;
;80.06 c;16,13;;15,95;;
;365.69 c;--;;-31,14;;
;306.89 c;24,49;;--;;
;32.88 c;6,93;;13,08;;
;15.85 c;15,45;;3,19;;
;69.22 c;45,75;;13,17;;
;107.79 c;14,42;;--;;
;44.31 c;11,12;;13,32;;
;32.8 c;2,97;;--;;
;58.99 c;20,99;;7,96;;
;76.22 c;19,52;;15,66;;
;141.53 c;15,48;;11,25;;
;58.41 c;20,02;;18,84;;
;16.66 c;15,84;;7,58;;
;16.83 c;15,84;;7,58;;
;44.66 c;--;;-12,52;;
;186.3 c;19,66;;17,65;;
;108.31 c;20,88;;53,85;;
;79.35 c;12,5;;14,61;;
;14.34 c;73,97;;--;;
;29.07 c;20,34;;10,71;;
;92.59 c;92,47;;2,44;;
;80.66 c;20,45;;7,48;;
;58.52 c;--;;-3,38;;
;32.36 c;25,95;;--;;
;99.27 c;17,39;;74,52;;
;37.14 c;11,71;;30,89;;
;41.03 c;--;;-21,57;;
;9.32 c;4,85;;--;;
;59.98 c;40,94;;6,95;;
;21.39 c;6,9;;36,93;;
;135.26 c;25,65;;13,34;;
;50.61 c;9,38;;14,19;;
;198.34 c;13,74;;18,39;;
;92.4 c;19,78;;13,93;;
;125.8 c;15,22;;17,29;;
;32.15 c;6,21;;32,88;;
;133.52 c;--;;-42,3;;
;15.93 c;10,7;;6;;
;31.83 c;9,34;;--;;
;67.54 c;11,21;;44,61;;
;109.76 c;13,59;;23,35;;
;27.89 c;7,72;;8,19;;
;112.84 c;20,84;;17,87;;
;129.21 c;25,59;;--;;
;97.93 c;248,49;;0,31;;
;42.22 c;12,67;;165,76;;
;33.59 c;11,89;;11,45;;
;14.08 c;--;;-181,5;;
;43.11 c;95,06;;1,52;;
;21.5 c;5,98;;--;;
;22.72 c;8,16;;14,18;;
;35.04 c;4,15;;--;;
;9.51 c;20,15;;5,13;;
;23.75 c;4,1;;--;;
;20.15 c;--;;--;;
;6.285 c;1,74;;13,76;;
;11.974,00;70,80;;8,62;;
;2.396,50;5,30;;23,35;;
;594,50;10,23;;--;;
;4.327,50;16,53;;42,31;;
;480,50;--;;-3,48;;
;4.898,00;8,26;;24,45;;
;3.609,50;25,65;;44,22;;
;2.733,50;9,37;;9,36;;
